;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;PC16;PC17;PC18;PC19;PC20
1;0.03723147976715424;0.041238480977642177;-0.07543106069483756;0.012919125276709022;0.31137940697350674;0.2381883526167925;-0.18263233770765674;-0.11813398394093376;0.16146382097512602;-0.08426219897907064;0.2247811882287892;-0.012140421321134196;-0.019004060346110466;-0.09864869200212027;-0.04812025442037622;0.12460551569008525;-0.03497805498157275;0.0069226830467978995;0.029609670543460268;-0.013849623579529239
2;0.02884427429157843;0.035215411235293315;-0.07428728817299896;0.015865634178497866;0.27570089966533107;0.21320727183005764;-0.17314835822803953;-0.13477797568623345;0.23742691849402492;-0.14927918712663865;0.2545336076125787;-0.01992724844413828;0.07959470615464924;0.012661030175372845;-0.010277467592219073;0.016780766918830042;-0.10393763683838467;0.012805075493755553;0.10032125202055031;0.010503126635675132
3;0.052881174792361874;0.025407230051369495;-0.06707344911924634;-0.03697336089665683;0.24157296712488407;0.26218778717436664;-0.1689190463390025;-0.20954119188370615;0.1472712070904748;-0.1306808326757534;0.14808787353490993;-0.12988125081689333;-0.027046626351395178;0.013362202901204998;-0.05254499728248145;0.1132076799286758;-0.022179328781817564;-0.0222139935996545;-0.021277259720794126;-0.17715371202381572
4;-0.016477629778295477;0.0888416235286682;-0.1545333632536809;0.08017423132409884;0.034831051985703465;-0.0190852971444411;0.0025036136418329913;-0.24489991583915072;-0.03674354670335256;-0.10202467502201429;-0.15119667421078908;0.37283445903344603;-0.12926061065170377;0.0775832928573223;-0.1006540464584858;-0.0001802620813213529;0.2917422315251158;-0.07574903677023044;-0.053362658841055524;0.0458938915818197
5;0.0291317102142096;0.03421142339643368;-0.12439520066654186;0.05999425866076821;0.04065845313580213;-0.032983247767346485;0.16653590589133724;-0.09844592444981434;0.08222086802153776;-0.3514399244659685;0.13175590045957083;0.3037567410902464;0.008277078522403381;-0.05483544911599851;0.07884037082626238;0.1645159397206054;0.2883550278198829;-0.018142795416427826;0.26924044522001556;-0.03056806535462345
6;0.15990991113287895;0.09129892766485309;-0.028263798407842877;0.06967986755577517;-0.014910621948580949;-0.030724070675475123;0.0034398031773864336;-0.19430415271113666;0.06650395570692358;0.048525018600507314;-0.0803891746641815;0.08812123789773817;-0.032348274102272846;-0.04163501721566212;0.040193141977452815;-0.06756066115072637;-0.05153140691327299;-0.0008281360538686805;-0.007480780407440379;0.03661763341847507
7;-0.03780779961948453;-0.1550323893132774;0.14423964591064406;-0.016187261670778275;-0.028181148651750143;0.05976162363829457;0.011864141770579761;-0.044062670250352515;0.32027634410826167;0.08000816201759989;-0.10893735160892029;0.021433974823798975;-0.14234174690194612;0.11515086861549972;-0.1063981722562029;-0.018600824468440025;0.03603528399123718;-0.029752080423975074;0.05159584771970083;0.05912014718123077
8;0.1746594594084557;-0.0855219089602482;0.10855731173645156;-0.028853801566123605;-0.04884001274714256;0.004547324822213095;-0.016651777347502617;0.05128795298743952;-0.04660419078942307;-0.07019193759109696;0.061473899461711445;0.03777523664546499;0.0032147275449742538;0.02527879924581674;0.02864597019931349;-0.005276804590174227;0.0640226187167098;0.01711799168131724;0.04239625584539127;0.04354129758815124
15;0.17231806843133418;-0.0909434867760614;0.08171869631148605;-0.04263517063097144;-0.02730141591418886;0.01600925429491165;0.044216106862640325;-0.06522968790354905;0.08436237581714191;0.0024643661750169098;-0.05282893754603818;-0.024300076111375968;-0.12148559411269164;0.04279641221687841;-0.05885681179354098;-0.02383031835412873;-0.02014769777934801;-0.10076017300989425;-0.06885129513225097;0.001341468656955655
16;0.14102531356630538;-0.12894315631021103;0.11455403571315977;-0.060607774346877696;-0.04619267402260725;0.02825741736313503;-0.029150819747737165;0.1392458511183213;-0.05079293776815613;-0.09255741260448525;0.07120981036085638;0.01915233284221015;-0.043230745036062924;0.038009148715265006;0.025329296512720395;0.0158018745843021;0.1051595648122415;0.033068412997143304;0.03534201138822354;0.08668291760854861
22;0.1712085729659953;-0.05442442081476238;0.12160435420211772;-0.038525717662639694;0.026475697032086173;-0.0006555373390498831;-0.07916959793122755;0.03647613467534294;-0.1602272478442413;-0.05710203582902558;0.026926357758812747;0.09487174360239721;-0.023914338367639624;0.026404137752741516;0.03495709980268471;-0.023935997818842647;0.039361914110268195;0.06704595149365977;0.032573585475246164;-0.008591614498040787
23;0.036132437608141735;0.07578719182487245;0.08722446461906527;-0.024267968372591726;0.20586387725924737;0.0506854028074209;-0.19286910580631325;-0.05489884855520746;-0.3089894016456896;0.04980545311073101;-0.03391651495997486;0.14937427570090636;-0.14314722671937824;0.14844128946202761;-0.03641502592891914;-0.08978440787865227;0.006663052679173012;0.02933584713927944;-0.23872828032446253;-0.16907695263413067
25;0.17435463429251663;-0.08413918582085052;0.10653556600501968;-0.0286259360496005;-0.051942018991293304;0.009386940323858894;-0.008797242037407949;0.06508566393376404;-0.0507626336331424;-0.08751043440676409;0.06511164493439958;0.03388145677058671;0.006288739292333525;0.02484441356025468;0.019770358986445975;0.007846381524355045;0.05214502775882465;0.031265616405343075;0.023670853445277085;0.026732582087387387
26;0.17439143634575563;-0.08420301560354755;0.10666502322881198;-0.029640761777536308;-0.0498212526201375;0.00717532322671896;-0.0075850118517638565;0.065603752109594;-0.04927363099093482;-0.08568311050807784;0.06422107185817963;0.033058639062639075;0.005182659877059757;0.028558851377715327;0.020600552516305812;0.003378582413955805;0.05447592836175624;0.03812112544982475;0.028161404999953427;0.027086372937322745
28;0.0008040848681265863;-0.16694686471083248;0.0020260683711877422;-0.023002135056627897;-0.10718295717179645;-0.142109814438044;-0.04676245011058788;-0.01426739895649659;0.22683050421677525;-0.0292796473338367;-0.07232118734846196;-0.1007408060908363;0.04941547092590606;0.04005592954287037;0.11001195704657718;0.050822300375438695;0.005979306722542314;0.06286217391529667;0.3122938281732924;-0.11718604687773634
29;-0.011663713874095689;-0.023166046408819172;-0.01864269635915817;0.03837519755691249;0.035297409950310096;-0.04332812540064847;0.02305775987453565;-0.003974377202857482;0.002870420636154891;0.04561119054430046;-0.11730994699374667;0.08314951946847775;-0.055666009325956126;0.5249057084699338;0.4671920348723828;0.5865955205607523;-0.24914969225546607;-0.0799871827457085;0.06282683538424605;0.09651863064807563
30;0.16989685299649532;-0.09518606966358004;0.0009156215389644817;-0.09625467825156458;0.07156431443473157;-0.07308982268497231;-0.044747638253423636;-0.08545482349129285;-0.03302913178305206;-0.011026838310455672;-0.0805603896235931;0.023734082503487366;0.01094130037761272;-0.05648734276523029;0.04472910072211492;-0.0316771218284051;-0.007459906091379753;0.03834055846753955;0.058061105899924845;0.04168286238594896
32;-0.1076367361142905;-0.1416380924983468;-0.06497505003929302;-0.1538158709116989;0.09264460947037209;-0.17206784385232915;-0.06215981477310141;0.06907710648155627;0.004669381844732798;0.01819553248681138;-0.023272871552483664;0.12496234024090391;0.03507375253186515;-0.053511282019214665;-0.029952422317537128;-0.010618382259029044;0.044638066371639876;-0.0685923423862301;0.05755866585528889;-0.06053482619234352
