;1;2;3;4;5;6;7;8;15;16;22;23;25;26;28;29;30;32;33;34;35;44;45;46;47;48;49;55;60;61;62;65;66;67;68;69;70;71;72;75;76;79;82;83;85;86;87;88;89;90;91;92;93;94;95;96;97;98;100;101;102;103;104;105;106;107;108;110;111;112;113;114;115;117;118;119;120;121;122;123;124;125;126;127
4;0.0;19.0;0.0;60.0;0.0;127.0;127.0;254.0;32258.0;127.0;593.7;2.92;203.2;203.2;19.1;0.0;823.4;3.1907;3.1907;420.7;2.1;6.4;2.0;63.3;0.0;101.6;0.4;1.59;39.46;1.0;31.57;0.0;3.39;0.0858;0.3401;0.3401;0.0504;0.77;0.24;87.27;87.27;297.0;324.0;0.0504;51.81;0.2504;0.1309;0.842;378.0;0.363;0.818;166.0;0.798;162.0;0.2714;56.17;94.61;0.92;0.05;12.97;4.34;0.22;0.6;2.6;21.06;0.31;1.02;0.0;1.0;0.0;0.0;0.0;0.0;35.7;41.5;37.5;39.1;26.82;41.06;67.88;134.08;0.506;67.88;1286.0
5;1.0;22.0;0.0;56.0;0.0;127.0;127.0;254.0;32258.0;127.0;578.5;2.92;198.1;198.1;19.1;0.0;1140.1;4.5311;4.5311;420.7;2.1;6.4;2.0;63.3;0.0;99.1;0.39;1.63;95.17;1.0;76.14;0.0;5.11;0.0537;0.2003;0.2003;0.0214;0.77;0.24;102.61;102.61;289.0;0.0;0.0;59.36;0.1251;0.0605;0.619;297.0;0.228;0.886;176.0;0.838;166.0;0.1679;79.66;137.7;0.75;0.02;8.42;6.76;0.14;0.42;0.0;0.0;0.0;0.62;0.0;1.0;0.0;0.0;0.0;0.0;91.4;100.2;96.2;97.8;41.32;41.06;82.39;206.62;0.399;82.39;1245.0
6;2.0;23.0;0.0;57.0;0.0;127.0;127.0;254.0;32258.0;127.0;578.5;2.92;198.1;198.1;19.1;0.0;1140.1;4.5311;4.5311;420.7;2.1;6.4;2.0;63.3;0.0;76.2;0.3;2.12;87.18;1.0;69.74;0.0;4.96;0.0568;0.2187;0.2187;0.0304;0.77;0.24;108.46;108.46;289.0;0.0;0.0;62.74;0.1444;0.0708;0.651;318.0;0.254;0.873;173.0;0.832;165.0;0.182;79.07;136.69;0.79;0.03;10.04;5.65;0.17;0.41;0.0;0.0;0.0;0.68;0.0;1.0;0.0;0.0;0.0;0.0;83.4;91.8;87.8;89.4;39.51;53.38;92.89;197.53;0.47;92.89;1168.0
7;3.0;24.0;0.0;58.0;0.0;127.0;127.0;254.0;32258.0;127.0;578.5;2.92;198.1;198.1;19.1;0.0;1140.1;4.5311;4.5311;420.7;2.1;6.4;2.0;63.3;0.0;63.5;0.25;2.55;99.99;1.0;80.0;0.0;5.2;0.052;0.1906;0.1906;0.0318;0.77;0.24;122.78;122.78;289.0;324.0;0.0318;71.03;0.1425;0.0707;0.6;365.0;0.275;0.862;171.0;0.841;167.0;0.1603;79.93;138.17;0.89;0.03;10.28;5.52;0.18;0.4;2.22;24.22;0.15;0.73;1.0;1.0;1.0;0.0;1.0;0.0;96.2;105.3;101.3;102.9;42.38;64.05;106.44;211.92;0.502;106.44;1154.0
8;4.0;25.0;0.0;59.0;0.0;127.0;127.0;254.0;32258.0;127.0;776.6;3.92;198.1;198.1;19.1;0.0;1140.1;4.5311;4.5311;420.7;2.1;6.4;2.0;63.3;0.0;99.1;0.39;1.63;95.74;1.0;76.59;0.0;5.12;0.0535;0.1991;0.1991;0.0213;0.77;0.31;94.03;94.03;388.0;324.0;0.0213;73.03;0.153;0.0571;0.617;378.0;0.29;0.855;169.0;0.839;166.0;0.167;79.69;102.62;0.92;0.02;8.39;6.78;0.14;0.4;2.68;20.47;0.14;0.57;1.0;1.0;1.0;0.0;1.0;0.0;91.9;100.8;96.8;98.4;41.45;41.06;82.51;207.26;0.398;82.51;1140.0
9;5.0;40.0;2.0;35.0;1.0;300.0;300.0;1000.0;300000.0;500.0;2662.0;2.88;925.0;925.0;29.9;0.0;1400.0;0.5045;0.5045;550.0;2.75;9.5;1.0;71.3;2.0;300.0;0.3;0.4;30.4;1.0;24.32;0.0;2.78;0.0916;0.0913;0.0913;0.0165;7.2;9.86;265.86;265.86;1331.0;508.0;0.0165;707.71;0.0907;0.0416;0.878;550.0;0.104;0.948;877.0;0.948;877.0;0.0865;675.24;253.66;1.05;0.02;7.39;7.71;0.13;0.33;2.51;21.7;0.1;0.8;1.0;1.0;0.0;1.0;1.0;0.0;26.6;32.0;28.0;29.6;250.76;111.61;362.37;1253.79;0.289;362.37;0.734
10;6.0;42.0;8.0;36.0;1.0;300.0;300.0;1000.0;300000.0;500.0;2662.0;2.88;925.0;925.0;29.9;0.0;2800.0;1.009;1.009;550.0;2.75;9.5;1.0;71.3;2.0;300.0;0.3;0.4;36.1;1.0;28.88;0.0;3.17;0.0878;0.1537;0.1537;0.0139;7.2;9.5;279.5;279.5;1380.0;508.0;0.0139;744.04;0.0803;0.0367;0.856;302.0;0.099;0.951;879.0;0.91;842.0;0.1399;1296.52;487.05;0.57;0.01;6.78;8.41;0.12;0.31;2.63;20.79;0.09;0.37;1.0;1.0;0.0;1.0;1.0;0.0;32.3;38.0;34.0;35.6;275.0;111.61;386.61;1375.0;0.281;386.61;0.723
11;7.0;45.0;3.0;147.0;1.0;585.0;75.0;800.0;277821.0;420.5;2400.0;3.41;704.0;704.0;20.0;0.0;7640.4;1.8552;14.4704;500.3;2.5;12.0;2.0;226.2;2.0;170.0;0.21;8.88;42.25;1.0;33.8;0.0;3.56;0.0843;0.2197;0.2197;0.2626;6.67;8.0;886.82;894.83;1200.0;297.0;0.1557;2128.38;0.1738;0.5638;0.831;449.0;0.237;0.881;620.0;0.868;611.0;0.1907;2335.34;973.06;0.91;0.26;30.83;1.68;0.44;1.28;3.62;15.44;1.76;0.15;0.0;0.0;0.0;0.0;0.0;0.0;38.4;44.5;40.5;42.1;56.88;468.65;525.53;284.4;1848.0;284.4;3118.0
12;8.0;46.0;44.0;46.0;1.0;1450.0;150.0;1450.0;830000.0;550.1;4189.8;3.06;1369.0;1369.0;32.0;0.0;19301.9;0.9724;9.3995;520.2;2.6;12.0;2.0;226.2;2.0;90.0;0.06;9.75;41.14;1.0;32.91;0.1024;3.49;0.0849;0.1183;0.1183;0.2963;19.92;44.32;3384.45;3428.77;2108.0;357.0;0.1818;14180.23;0.1269;0.539;0.835;520.0;0.142;0.929;1272.0;0.929;1272.0;0.1099;12284.65;2932.03;1.15;0.3;32.98;1.54;0.46;1.18;2.97;18.64;1.42;0.36;0.0;1.0;0.0;0.0;0.0;0.0;37.3;43.3;39.3;40.9;218.12;2002.57;2220.69;1090.62;2036.0;1090.62;3103.0
13;9.0;62.0;4.0;26.0;1.0;240.0;240.0;350.0;84000.0;175.0;810.0;2.7;300.0;300.0;24.0;0.0;904.8;1.2566;1.2566;425.8;2.13;6.0;2.0;56.5;2.0;160.0;0.46;0.65;25.88;0.0;20.7;0.0873;2.46;0.095;0.2067;0.2067;0.0314;2.02;1.17;128.7;128.7;321.0;438.0;0.0312;104.25;0.1865;0.0976;0.896;426.0;0.231;0.885;265.0;0.885;265.0;0.1829;102.24;126.22;1.02;0.03;10.21;5.55;0.17;0.56;3.13;17.71;0.27;0.69;1.0;1.0;0.0;1.0;1.0;0.0;22.1;27.2;23.2;24.8;59.6;46.81;106.41;298.02;0.357;106.41;1209.0
14;10.0;63.0;4.0;28.0;1.0;240.0;240.0;650.0;156000.0;325.0;1680.0;2.8;600.0;600.0;24.0;0.0;1809.6;1.2566;1.2566;425.8;2.13;6.0;2.0;56.5;2.0;160.0;0.25;0.65;24.18;0.0;19.34;0.0988;2.33;0.0964;0.2213;0.2213;0.0336;3.74;1.87;249.57;249.57;1300.0;441.0;0.0336;419.29;0.2007;0.1021;0.903;426.0;0.245;0.878;527.0;0.878;527.0;0.1942;405.64;241.45;1.03;0.03;10.56;5.36;0.18;0.57;3.04;18.22;0.28;0.56;1.0;1.0;0.0;1.0;1.0;0.0;20.4;25.5;21.5;23.1;114.83;93.61;208.45;574.17;0.363;208.45;1197.0
15;11.0;64.0;4.0;29.0;1.0;240.0;240.0;950.0;228000.0;475.0;2565.0;2.85;900.0;900.0;24.0;0.0;2714.3;1.2566;1.2566;425.8;2.13;6.0;2.0;56.5;2.0;160.0;0.17;0.65;25.34;0.0;20.27;0.1055;2.42;0.0955;0.2111;0.2111;0.0321;5.47;3.97;369.39;369.39;1975.0;441.0;0.0321;947.48;0.1923;0.0956;0.899;426.0;0.235;0.883;794.0;0.883;794.0;0.1863;917.89;357.85;1.03;0.03;10.32;5.49;0.18;0.54;2.98;18.55;0.25;0.47;1.0;1.0;0.0;1.0;1.0;0.0;21.5;26.7;22.7;24.3;176.75;140.42;317.17;883.75;0.359;317.17;1165.0
